Word,Val,Val_z
aim,5.95,0.7
air,6.71,1.29
airbag,5.4,0.26
airborne,5.25,0.15
aircraft,6.3,0.97
aircraft carrier,5.25,0.15
airfield,5.74,0.53
airhead,4.1,-0.76
airline,5.36,0.23
airliner,6.05,0.77
airlock,4.85,-0.17
airplane,5.25,0.15
airport,6.0,0.73
airship,5.63,0.44
airspace,5.5,0.34
airspeed,4.95,-0.09
airstrip,4.76,-0.24
airtight,5.1,0.03
airway,4.95,-0.09
aisle,5.17,0.08
ajar,5.0,-0.05
aka,4.63,-0.34
alabaster,5.5,0.34
alarm,3.86,-0.94
alarm clock,3.47,-1.25
alarming,3.52,-1.21
albatross,5.68,0.48
albino,4.9,-0.13
album,6.19,0.88
alcohol,4.11,-0.75
alcoholic,2.49,-2.02
alcoholism,2.0,-2.4
alcove,5.5,0.34
alderman,4.44,-0.49
ale,5.95,0.7
alert,5.38,0.25
alfalfa,4.79,-0.21
algebra,5.4,0.26
algorithm,5.3,0.19
alias,5.0,-0.05
alibi,4.16,-0.71
alien,4.45,-0.48
alienate,2.79,-1.78
alienation,2.53,-1.99
alight,5.67,0.48
align,5.95,0.7
alignment,6.0,0.73
alimony,3.86,-0.94
alive,6.57,1.18
allegation,3.26,-1.41
alleged,3.62,-1.13
allegiance,5.8,0.58
allegro,5.0,-0.05
allergic,3.0,-1.62
allergy,2.9,-1.7
alleviate,6.25,0.93
alley,4.17,-0.7
alleyway,3.46,-1.26
alliance,6.14,0.84
allied,5.95,0.7
alligator,4.23,-0.65
allow,6.39,1.04
allowance,6.74,1.31
alloy,5.2,0.11
allure,6.9,1.44
alluring,6.74,1.31
ally,6.05,0.77
almanac,5.55,0.38
almighty,6.15,0.85
almond,6.05,0.77
aloha,7.1,1.6
alone,3.85,-0.95
aloof,4.59,-0.37
alpha,5.5,0.34
alphabet,5.95,0.7
alphabetical,6.32,0.99
alpine,5.84,0.61
altar,5.59,0.41
altar boy,4.76,-0.24
alter,4.57,-0.39
alteration,5.05,-0.01
altercation,3.61,-1.14
alternate,5.15,0.07
alternating,5.37,0.24
alternative,5.33,0.21
altimeter,4.5,-0.44
altitude,5.27,0.16
aluminum,5.1,0.03
alumnus,4.95,-0.09
alzheimers,2.26,-2.2
amaretto,6.0,0.73
amateur,4.58,-0.38
amaze,7.24,1.71
amazed,7.55,1.95
amazement,7.29,1.75
amazing,7.72,2.08
ambassador,5.5,0.34
amber,6.15,0.85
ambience,6.35,1.01
ambient,6.33,0.99
ambiguous,5.16,0.08
ambition,7.28,1.74
ambitious,6.33,0.99
ambrosia,5.95,0.7
ambulance,3.71,-1.06
ambush,3.17,-1.49
amend,5.85,0.62
amendment,5.6,0.42
amends,6.68,1.27
amiable,6.7,1.28
amino,4.45,-0.48
ammo,4.18,-0.69
ammonia,3.74,-1.04
ammonium,4.06,-0.79
ammunition,4.59,-0.37
amnesia,3.43,-1.28
amnesty,5.38,0.25
amorous,5.95,0.7
amount,5.42,0.28
amour,6.43,1.07
amp,5.79,0.57
amphibian,5.4,0.26
amphibious,5.75,0.54
ample,5.89,0.65
amputate,2.1,-2.32
amputation,1.84,-2.53
amuck,4.0,-0.83
amulet,5.75,0.54
amuse,7.1,1.6
amused,7.05,1.56
amusement,7.0,1.52
amusing,7.6,1.99
anaconda,4.43,-0.5
anagram,4.37,-0.54
anal,4.0,-0.83
analogy,5.24,0.14
analysis,5.25,0.15
analyst,5.0,-0.05
analytical,6.0,0.73
analyze,5.65,0.46
analyzer,4.62,-0.35
anaphylactic,4.0,-0.83
anarchist,2.76,-1.81
anarchy,3.68,-1.09
anatomy,6.29,0.96
ancestor,6.37,1.02
ancestral,6.6,1.2
ancestry,6.29,0.96
anchor,5.16,0.08
anchorage,5.09,0.02
ancient,7.24,1.71
android,5.62,0.44
anecdote,5.62,0.44
anemia,3.05,-1.58
anemic,3.45,-1.27
anesthesia,4.84,-0.18
anesthesiologist,4.95,-0.09
anesthetic,5.48,0.33
aneurysm,2.5,-2.01
angel,7.71,2.08
angelic,6.68,1.27
anger,2.5,-2.01
angina,2.85,-1.74
angiogram,4.19,-0.69
angle,4.55,-0.4
angora,5.63,0.44
angry,2.53,-1.99
angst,3.5,-1.23
anguish,3.14,-1.51
anguished,2.78,-1.79
animal,7.06,1.57
animated,6.65,1.24
animation,6.42,1.06
animosity,3.4,-1.31
ankle,5.4,0.26
anklet,4.75,-0.25
annals,4.8,-0.21
annex,4.41,-0.51
annihilate,3.15,-1.5
annihilation,2.58,-1.95
anniversary,6.95,1.48
announce,5.52,0.36
announcement,5.81,0.59
announcer,5.84,0.61
annoy,2.49,-2.02
annoyance,2.95,-1.66
annoyed,2.8,-1.78
annoying,3.0,-1.62
annual,5.19,0.1
annul,3.83,-0.97
annulment,4.05,-0.8
anointed,4.79,-0.21
anomaly,4.84,-0.18
anonymity,4.81,-0.2
anonymous,5.75,0.54
anorexic,2.71,-1.85
answer,6.1,0.81
ant,3.9,-0.91
antagonistic,4.32,-0.58
antagonize,3.15,-1.5
antelope,5.68,0.48
antenna,5.43,0.29
anterior,4.89,-0.14
anthem,5.95,0.7
anthill,4.32,-0.58
anthrax,2.32,-2.15
anthropological,5.53,0.37
anthropologist,5.7,0.5
anthropology,5.3,0.19
anti,4.47,-0.47
antiaircraft,4.85,-0.17
antibiotic,5.88,0.64
antibiotics,5.05,-0.01
antichrist,2.36,-2.12
anticipate,6.0,0.73
anticipation,5.26,0.15
antics,3.95,-0.87
antidote,6.55,1.17
antigravity,5.74,0.53
antiquated,5.0,-0.05
antique,6.5,1.13
antiques,6.63,1.23
antiseptic,4.57,-0.39
antisocial,3.21,-1.45
antsy,4.36,-0.55
anus,2.9,-1.7
anvil,5.05,-0.01
anxiety,2.38,-2.11
anxious,3.8,-0.99
anytime,5.81,0.59
aorta,4.35,-0.56
aortic,4.25,-0.64
apache,5.2,0.11
apartment,5.72,0.51
apartments,5.0,-0.05
apathy,3.68,-1.09
ape,5.21,0.11
apex,5.52,0.36
aphrodisiac,6.43,1.07
apocalypse,3.24,-1.43
apologetic,6.65,1.24
apologize,4.94,-0.1
apology,6.24,0.92
apostle,5.5,0.34
apothecary,5.48,0.33
appalled,3.62,-1.13
appalling,2.95,-1.66
apparatus,5.5,0.34
apparel,5.38,0.25
apparent,4.96,-0.08
apparition,4.85,-0.17
appeal,6.3,0.97
appear,5.25,0.15
appearance,6.14,0.84
appease,5.95,0.7
appendage,4.23,-0.65
appendectomy,2.95,-1.66
appendicitis,1.86,-2.51
appendix,4.81,-0.2
appetite,6.23,0.91
appetizer,7.29,1.75
appetizing,7.0,1.52
applaud,6.7,1.28
applause,7.12,1.61
apple,6.62,1.22
apple juice,7.3,1.75
applejack,5.79,0.57
applesauce,6.9,1.44
appliance,5.15,0.07
applicant,4.91,-0.12
application,5.05,-0.01
apply,5.16,0.08
appoint,5.95,0.7
appointment,4.43,-0.5
appraisal,5.09,0.02
appreciate,7.33,1.78
appreciation,7.3,1.75
appreciative,7.14,1.63
apprehend,4.14,-0.72
apprehension,4.15,-0.72
apprehensive,3.32,-1.37
apprentice,5.95,0.7
approach,5.45,0.3
appropriate,6.1,0.81
approval,6.75,1.32
approve,7.0,1.52
approximate,5.26,0.15
apricot,5.95,0.7
apron,5.8,0.58
apt,5.64,0.45
aptitude,5.95,0.7
aqua,6.5,1.13
aquamarine,6.4,1.05
aquarium,6.43,1.07
aquatic,6.8,1.36
arbitrary,4.15,-0.72
arbitration,4.09,-0.76
arcade,6.45,1.09
arcane,5.25,0.15
arch,5.8,0.58
archaeological,6.05,0.77
archaeologist,5.42,0.28
archaeology,6.1,0.81
archaic,4.5,-0.44
archangel,7.27,1.73
archbishop,4.71,-0.28
archdiocese,3.95,-0.87
archduke,4.15,-0.72
archery,5.25,0.15
architect,6.21,0.9
architectural,6.32,0.99
architecture,6.05,0.77
archive,4.81,-0.2
arctic,4.45,-0.48
ardent,4.95,-0.09
area,5.56,0.39
arena,5.75,0.54
argue,3.15,-1.5
argument,2.62,-1.92
argumentative,3.2,-1.46
arise,6.17,0.87
aristocracy,5.21,0.11
aristocrat,4.28,-0.61
aristocratic,5.79,0.57
arithmetic,4.95,-0.09
ark,6.15,0.85
arm,5.44,0.3
armada,4.6,-0.36
armament,5.05,-0.01
armchair,5.67,0.48
armed,4.11,-0.75
armor,6.1,0.81
armored,5.67,0.48
armory,5.25,0.15
armpit,4.1,-0.76
army,4.65,-0.32
aroma,7.65,2.03
arouse,6.67,1.26
aroused,5.95,0.7
arraignment,3.91,-0.91
arrange,5.15,0.07
arrangement,5.71,0.51
array,5.9,0.66
arrest,2.33,-2.14
arrhythmia,3.86,-0.94
arrival,6.67,1.26
arrive,6.41,1.06
arrogance,2.55,-1.97
arrogant,2.52,-2.0
arrow,5.24,0.14
arsenal,4.45,-0.48
arsenic,3.0,-1.62
arson,2.26,-2.2
arsonist,2.5,-2.01
art,6.85,1.4
arterial,3.95,-0.87
artery,4.29,-0.61
arthritis,2.32,-2.15
artichoke,5.3,0.19
article,5.68,0.48
articulate,6.55,1.17
artifact,6.2,0.89
artificial,3.86,-0.94
artillery,4.1,-0.76
artist,6.76,1.33
artiste,6.33,0.99
artistic,7.0,1.52
artistry,6.91,1.45
artwork,6.76,1.33
arty,6.55,1.17
asbestos,2.24,-2.21
ascend,6.19,0.88
ascendant,5.29,0.18
ascending,5.14,0.06
ascension,5.77,0.55
ascertain,5.3,0.19
ashamed,2.52,-2.0
ashtray,3.52,-1.21
asinine,5.05,-0.01
ask,5.95,0.7
asleep,6.5,1.13
asparagus,5.43,0.29
aspect,4.89,-0.14
aspen,6.57,1.18
asphalt,4.46,-0.47
asphyxia,2.19,-2.25
asphyxiation,1.53,-2.77
aspiration,6.26,0.94
aspire,6.43,1.07
aspirin,5.3,0.19
aspiring,6.89,1.43
ass,5.45,0.3
assailant,3.24,-1.43
assassin,2.11,-2.32
assassinate,3.27,-1.41
assassination,1.83,-2.54
assault,2.05,-2.36
assemble,5.14,0.06
assembly,5.47,0.32
assemblyman,5.0,-0.05
assert,5.68,0.48
assertive,5.37,0.24
assess,5.84,0.61
assessment,5.22,0.12
asset,7.25,1.71
asshole,2.11,-2.32
assign,4.75,-0.25
assignment,5.39,0.26
assimilate,4.63,-0.34
assist,5.95,0.7
assistance,5.82,0.59
assistant,5.91,0.66
associate,5.2,0.11
association,5.5,0.34
assorted,5.82,0.59
assortment,5.64,0.45
assume,4.41,-0.51
assumption,4.3,-0.6
assurance,5.95,0.7
assure,6.33,0.99
asterisk,5.38,0.25
asteroid,4.95,-0.09
asthma,2.45,-2.05
asthmatic,3.33,-1.36
astonish,5.55,0.38
astonished,6.42,1.06
astonishing,6.53,1.15
astound,6.3,0.97
astral,5.32,0.2
astrology,4.79,-0.21
astronaut,6.73,1.31
astronomer,5.59,0.41
astronomical,6.37,1.02
astronomy,6.0,0.73
astute,6.22,0.91
asylum,3.24,-1.43
atheist,4.64,-0.33
athlete,6.21,0.9
athletic,6.76,1.33
athletics,6.14,0.84
atlas,5.95,0.7
atmosphere,6.05,0.77
atmospheric,5.72,0.51
atoll,5.14,0.06
atom,5.74,0.53
atomic,4.26,-0.63
atone,5.6,0.42
atrium,5.95,0.7
atrocious,3.14,-1.51
atrocity,2.95,-1.66
atrophy,3.16,-1.49
attach,5.26,0.15
attachment,6.0,0.73
attack,2.0,-2.4
attacker,2.23,-2.22
attain,5.85,0.62
attempt,6.0,0.73
attempted,5.35,0.22
attend,5.4,0.26
attendance,5.95,0.7
attendant,5.63,0.44
attention,6.68,1.27
attentive,6.43,1.07
attest,5.1,0.03
attic,4.95,-0.09
attire,6.16,0.86
attitude,4.72,-0.27
attorney,3.67,-1.09
attract,6.38,1.03
attraction,7.0,1.52
attractive,7.19,1.67
attribute,5.67,0.48
auburn,5.89,0.65
auction,5.43,0.29
auctioneer,5.09,0.02
audacious,5.11,0.04
audacity,5.2,0.11
audible,6.05,0.77
audience,5.89,0.65
audio,6.56,1.17
audit,2.82,-1.76
audition,5.2,0.11
auditor,3.26,-1.41
auditorium,6.05,0.77
auditory,5.05,-0.01
aunt,6.56,1.17
auntie,6.24,0.92
aura,6.45,1.09
auspicious,4.76,-0.24
authentic,6.91,1.45
authenticate,5.1,0.03
authenticity,6.81,1.37
author,6.33,0.99
authority,4.76,-0.24
authorization,5.86,0.62
authorize,5.37,0.24
autism,3.2,-1.46
autistic,3.62,-1.13
auto,5.0,-0.05
autobiographical,4.82,-0.19
autobiography,5.79,0.57
autograph,6.21,0.9
autographed,6.14,0.84
automated,4.74,-0.25
automatic,6.05,0.77
automobile,5.45,0.3
automotive,5.37,0.24
autonomy,5.05,-0.01
autopilot,5.65,0.46
autopsy,2.62,-1.92
autumn,7.12,1.61
auxiliary,5.26,0.15
avail,5.42,0.28
availability,5.68,0.48
available,6.86,1.41
avalanche,4.0,-0.83
avenge,4.05,-0.8
avenging,4.89,-0.14
avenue,5.74,0.53
average,4.89,-0.14
aversion,4.0,-0.83
avert,5.16,0.08
aviation,5.9,0.66
