Word,Val,Val_z
divide,4.78,-0.22
divine,7.15,1.64
division,4.42,-0.51
divorce,2.49,-2.02
divorcee,3.29,-1.39
divulge,4.79,-0.21
divvy,4.81,-0.2
dizziness,3.36,-1.34
dizzy,3.14,-1.51
do,5.41,0.27
doable,5.52,0.36
doc,4.67,-0.31
docile,5.75,0.54
dock,5.05,-0.01
docket,4.53,-0.42
docking,5.2,0.11
doctor,5.93,0.68
doctorate,5.95,0.7
doctrine,4.89,-0.14
document,5.42,0.28
documentary,5.91,0.66
documentation,4.84,-0.18
documents,5.35,0.22
dodger,4.7,-0.29
dodgy,4.79,-0.21
dodo,3.91,-0.91
doer,5.63,0.44
dog,7.0,1.52
dogface,3.95,-0.87
doggy,7.0,1.52
doghouse,5.1,0.03
dojo,6.0,0.73
dole,4.95,-0.09
doll,5.88,0.64
dollar,7.39,1.82
dollhouse,5.6,0.42
dolphin,6.67,1.26
domain,5.05,-0.01
dome,5.95,0.7
domestic,5.05,-0.01
domesticated,5.82,0.59
dominance,5.19,0.1
dominant,5.15,0.07
dominate,4.4,-0.52
domination,3.57,-1.17
dominatrix,4.32,-0.58
dominion,4.62,-0.35
domino,5.0,-0.05
donate,6.7,1.28
donation,7.0,1.52
donkey,6.29,0.96
donor,6.57,1.18
doodle,6.39,1.04
doom,3.0,-1.62
doomsday,2.8,-1.78
door,5.43,0.29
doorbell,5.33,0.21
doorknob,4.86,-0.16
doorman,5.45,0.3
doormat,3.68,-1.09
doornail,4.68,-0.3
doorstep,5.14,0.06
doorway,5.68,0.48
dopamine,4.64,-0.33
dope,4.14,-0.72
dopey,3.86,-0.94
dork,4.35,-0.56
dorky,5.12,0.04
dorm,5.16,0.08
dormant,4.85,-0.17
dormitory,5.06,-0.0
dorsal,5.05,-0.01
dosage,4.57,-0.39
dose,4.91,-0.12
dossier,4.84,-0.18
dot,4.84,-0.18
dotted,4.86,-0.16
dotty,5.16,0.08
double,5.78,0.56
doubt,3.28,-1.4
doubtful,3.86,-0.94
douche,2.9,-1.7
dough,6.0,0.73
doughboy,4.84,-0.18
doughnut,7.5,1.91
douse,3.92,-0.9
dove,6.9,1.44
downer,3.47,-1.25
downfall,3.2,-1.46
downfield,4.84,-0.18
download,6.0,0.73
downriver,5.61,0.43
downside,3.55,-1.19
downtime,5.8,0.58
downward,4.0,-0.83
downy,5.77,0.55
dowry,4.7,-0.29
doze,5.95,0.7
dozen,5.78,0.56
Dr. Pepper,6.9,1.44
drab,2.76,-1.81
draft,5.3,0.19
drafty,4.3,-0.6
drag,3.68,-1.09
dragon,6.68,1.27
dragonfly,6.45,1.09
drain,3.8,-0.99
drainage,3.89,-0.92
drainpipe,4.52,-0.43
drake,5.05,-0.01
drama,4.37,-0.54
dramatic,5.17,0.08
drape,4.95,-0.09
drastic,4.63,-0.34
drat,4.25,-0.64
draught,3.9,-0.91
draw,6.18,0.88
drawback,4.38,-0.54
drawbridge,5.45,0.3
drawer,4.67,-0.31
dread,3.0,-1.62
dreaded,2.11,-2.32
dreadful,2.6,-1.93
dream,7.43,1.86
dreamboat,7.47,1.89
dreamer,7.45,1.87
dreamland,7.0,1.52
dreamy,7.52,1.93
dreary,3.55,-1.19
dredge,3.32,-1.37
dress,6.42,1.06
dresser,5.28,0.17
dressmaker,6.85,1.4
dressy,5.82,0.59
dribble,4.68,-0.3
drift,5.09,0.02
drifter,4.95,-0.09
driftwood,5.53,0.37
drill,4.73,-0.26
drink,6.67,1.26
drinker,3.72,-1.05
drip,5.52,0.36
drive,6.5,1.13
drivel,4.29,-0.61
driver,6.39,1.04
driveway,4.57,-0.39
drizzle,5.18,0.09
droll,5.09,0.02
drone,3.5,-1.23
drool,3.28,-1.4
droopy,4.0,-0.83
drop,4.23,-0.65
dropout,3.33,-1.36
dropper,5.05,-0.01
drought,2.79,-1.78
drown,2.33,-2.14
drowsy,4.25,-0.64
drug,4.11,-0.75
drug dealing,2.81,-1.77
druggist,3.89,-0.92
drugs,3.86,-0.94
drugstore,4.74,-0.25
drum,6.05,0.77
drummer,6.53,1.15
drunk,4.06,-0.79
drunk driving,1.58,-2.73
drunkard,3.28,-1.4
drunken,3.0,-1.62
drunkenness,3.42,-1.29
dry,4.86,-0.16
dryer,5.21,0.11
dual,5.14,0.06
dub,5.35,0.22
dubious,3.47,-1.25
duchess,6.15,0.85
duck,6.11,0.82
duckling,7.18,1.66
ducky,6.6,1.2
duct,4.24,-0.65
dud,3.74,-1.04
dude,5.91,0.66
due,4.94,-0.1
duel,5.05,-0.01
duet,6.11,0.82
duffel,4.9,-0.13
dugout,4.55,-0.4
duh,4.5,-0.44
duke,4.8,-0.21
dull,3.4,-1.31
dullard,4.68,-0.3
dumb,2.44,-2.06
dumbbell,4.71,-0.28
dummy,3.66,-1.1
dump,3.73,-1.05
dumpling,6.48,1.11
dumpster,3.48,-1.24
dunce,3.24,-1.43
dune,5.35,0.22
dung,3.86,-0.94
dungeon,3.52,-1.21
dunk,4.67,-0.31
duo,6.45,1.09
dupe,4.0,-0.83
duplex,5.67,0.48
duplicate,4.7,-0.29
duration,5.43,0.29
duress,2.82,-1.76
dusk,5.63,0.44
dusky,4.95,-0.09
dust,3.72,-1.05
duster,5.26,0.15
dustpan,4.67,-0.31
dusty,3.95,-0.87
duty,5.33,0.21
dwarf,4.71,-0.28
dweeb,4.17,-0.7
dwell,4.75,-0.25
dwelling,5.21,0.11
dye,5.25,0.15
dyke,3.8,-0.99
dynamic,6.1,0.81
dynamite,4.79,-0.21
dynamo,6.21,0.9
dynasty,5.16,0.08
dysentery,3.0,-1.62
dysfunction,3.18,-1.48
dysfunctional,3.09,-1.55
eager,6.37,1.02
eagle,6.47,1.1
ear,5.86,0.62
earful,4.27,-0.62
earl,5.15,0.07
earn,7.0,1.52
earnest,5.9,0.66
earnings,6.37,1.02
earpiece,5.04,-0.02
earring,6.45,1.09
earrings,5.32,0.2
earth,6.83,1.39
earthling,5.53,0.37
earthly,5.63,0.44
earthquake,3.05,-1.58
earthy,6.5,1.13
ease,6.15,0.85
east,6.33,0.99
eastbound,5.65,0.46
eastern,5.37,0.24
easy,7.47,1.89
easygoing,7.03,1.54
eat,7.1,1.6
eater,4.95,-0.09
eavesdrop,4.05,-0.8
ebony,6.14,0.84
eccentric,5.37,0.24
echelon,5.55,0.38
echinacea,4.8,-0.21
echo,5.2,0.11
eclectic,5.9,0.66
eclipse,6.76,1.33
ecological,5.62,0.44
economic,5.1,0.03
economics,5.2,0.11
economy,3.64,-1.12
ecosystem,6.5,1.13
ecstasy,7.19,1.67
ecstatic,6.45,1.09
edema,3.86,-0.94
edge,4.43,-0.5
edgy,4.81,-0.2
edible,6.68,1.27
edifice,5.0,-0.05
edit,4.95,-0.09
editing,5.45,0.3
edition,5.3,0.19
editor,5.43,0.29
editorial,5.18,0.09
educate,7.48,1.9
education,6.58,1.19
educational,6.6,1.2
educator,6.58,1.19
eel,4.14,-0.72
eerie,3.4,-1.31
effect,5.5,0.34
effective,6.95,1.48
effectiveness,6.9,1.44
efficiency,6.74,1.31
efficient,6.95,1.48
effort,6.47,1.1
effortless,7.1,1.6
egg,5.95,0.7
egghead,4.47,-0.47
eggnog,6.0,0.73
eggplant,5.55,0.38
eggshell,5.2,0.11
ego,4.38,-0.54
egomaniac,3.68,-1.09
egotistical,3.08,-1.56
eight,5.37,0.24
eighteen,5.72,0.51
eighty,5.43,0.29
ejaculate,6.0,0.73
ejaculation,5.42,0.28
eject,3.95,-0.87
ejection,3.5,-1.23
El Nino,4.29,-0.61
elaborate,6.38,1.03
elastic,5.71,0.51
elated,6.56,1.17
elbow,5.38,0.25
elder,6.11,0.82
elderly,4.63,-0.34
elect,5.52,0.36
election,4.5,-0.44
elective,5.38,0.25
electoral,4.21,-0.67
electric,6.1,0.81
electric slide,6.05,0.77
electrical,5.57,0.4
electrician,5.21,0.11
electricity,6.15,0.85
electrocute,3.27,-1.41
electrocution,2.45,-2.05
electromagnetic,5.1,0.03
electron,5.33,0.21
electronic,6.52,1.14
electronics,6.5,1.13
elegance,6.91,1.45
elegant,7.0,1.52
element,5.58,0.4
elemental,5.19,0.1
elementary,6.11,0.82
elephant,6.17,0.87
elevate,6.42,1.06
elevation,5.67,0.48
elevator,5.95,0.7
eleven,5.0,-0.05
elf,6.1,0.81
elicit,4.14,-0.72
eligible,6.45,1.09
eliminate,3.89,-0.92
elimination,3.86,-0.94
elite,5.71,0.51
elitist,4.5,-0.44
elixir,5.68,0.48
elk,5.81,0.59
elm,6.32,0.99
elope,6.58,1.19
eloquence,6.76,1.33
eloquent,7.16,1.64
elude,4.62,-0.35
elusive,4.3,-0.6
email,6.0,0.73
emancipation,6.57,1.18
embankment,5.0,-0.05
embargo,5.05,-0.01
embark,5.89,0.65
embarrass,3.38,-1.32
embarrassed,3.51,-1.22
embarrassing,3.53,-1.2
embarrassment,2.72,-1.84
embassy,5.3,0.19
embattled,4.05,-0.8
embezzlement,2.95,-1.66
embezzler,3.05,-1.58
emblem,6.0,0.73
embodiment,5.72,0.51
embolism,2.14,-2.29
embrace,7.0,1.52
embroidery,6.53,1.15
embryo,5.75,0.54
emcee,5.15,0.07
emerald,7.3,1.75
emerge,5.75,0.54
emergency,2.72,-1.84
emery,4.74,-0.25
eminence,5.43,0.29
eminent,5.58,0.4
emissary,4.76,-0.24
emission,4.1,-0.76
emit,4.81,-0.2
emotion,6.62,1.22
emotional,5.11,0.04
empathize,7.1,1.6
empathy,7.29,1.75
emperor,4.68,-0.3
emphasis,5.26,0.15
emphasize,5.75,0.54
emphysema,2.47,-2.03
empire,5.36,0.23
empirical,4.67,-0.31
employ,5.89,0.65
employee,5.29,0.18
employer,5.3,0.19
employment,6.0,0.73
emporium,5.25,0.15
empress,4.95,-0.09
emptiness,3.26,-1.41
empty,3.78,-1.01
emu,5.45,0.3
emulate,5.11,0.04
enable,5.13,0.05
enamel,5.42,0.28
enchanted,7.16,1.64
enchanting,6.8,1.36
enchantment,6.8,1.36
enchantress,5.82,0.59
enchilada,6.63,1.23
enclosure,4.6,-0.36
encore,6.9,1.44
encounter,5.16,0.08
encourage,7.16,1.64
encouragement,6.7,1.28
encouraging,6.89,1.43
encryption,5.14,0.06
encyclopedia,6.14,0.84
end,4.73,-0.26
end table,5.25,0.15
endanger,2.67,-1.88
endangerment,3.0,-1.62
endearing,7.17,1.65
endeavor,6.42,1.06
endgame,4.23,-0.65
ending,4.23,-0.65
endless,4.0,-0.83
endorse,5.2,0.11
endorsement,6.05,0.77
endowment,6.0,0.73
endurance,6.86,1.41
endure,4.95,-0.09
enduring,6.67,1.26
enema,3.29,-1.39
enemy,2.22,-2.23
energetic,7.57,1.97
energize,7.43,1.86
energy,6.9,1.44
enforce,5.32,0.2
enforcement,4.67,-0.31
enforcer,3.81,-0.98
engage,6.6,1.2
engaged,6.78,1.35
engagement,6.65,1.24
engine,5.48,0.33
engineer,5.79,0.57
engineering,6.0,0.73
engraving,6.17,0.87
enhance,6.62,1.22
enhancement,6.29,0.96
enigma,5.35,0.22
enjoy,7.67,2.04
enjoyable,7.63,2.01
enjoyment,8.37,2.59
enlarge,5.33,0.21
enlargement,4.65,-0.32
enlighten,7.38,1.82
enlightening,7.0,1.52
enlightenment,6.79,1.35
enlist,4.42,-0.51
ennui,4.13,-0.73
enormous,5.68,0.48
enraged,2.33,-2.14
enroll,5.94,0.69
enrollment,6.19,0.88
ensemble,5.67,0.48
enslave,2.67,-1.88
ensure,5.71,0.51
entail,5.35,0.22
enter,6.09,0.8
enterprise,6.0,0.73
enterprising,5.52,0.36
entertain,7.21,1.68
entertainer,6.48,1.11
entertaining,8.0,2.3
entertainment,7.59,1.98
enthusiasm,7.14,1.63
enthusiast,6.65,1.24
enthusiastic,7.55,1.95
entice,5.33,0.21
entire,5.67,0.48
entirety,5.95,0.7
entitle,4.89,-0.14
entity,5.19,0.1
entourage,4.9,-0.13
entrails,3.37,-1.33
entrance,6.05,0.77
entrapment,3.3,-1.38
entree,6.63,1.23
entrepreneur,6.14,0.84
entrust,6.32,0.99
entry,4.95,-0.09
envelope,5.95,0.7
envious,3.52,-1.21
environment,6.7,1.28
environmental,5.5,0.34
envision,6.14,0.84
envoy,4.9,-0.13
envy,3.05,-1.58
enzyme,5.14,0.06
epic,7.19,1.67
epidemic,2.05,-2.36
epidural,3.65,-1.11
epilepsy,2.7,-1.85
epileptic,3.32,-1.37
epiphany,7.06,1.57
episode,5.0,-0.05
epitaph,4.53,-0.42
epitome,5.67,0.48
equal,6.47,1.1
equality,6.75,1.32
equalizer,5.05,-0.01
equate,6.16,0.86
equation,5.29,0.18
equator,5.42,0.28
equestrian,5.71,0.51
equilibrium,6.32,0.99
equipment,5.62,0.44
equity,5.41,0.27
equivalent,5.89,0.65
era,5.29,0.18
eradicate,3.79,-1.0
erase,4.89,-0.14
eraser,5.64,0.45
erect,5.79,0.57
erectile,4.5,-0.44
erection,7.38,1.82
ergo,4.86,-0.16
erosion,3.79,-1.0
erotic,5.83,0.6
erotica,6.1,0.81
err,3.58,-1.16
errand,4.68,-0.3
errant,4.43,-0.5
erratic,3.21,-1.45
erroneous,4.38,-0.54
error,3.36,-1.34
erupt,5.14,0.06
eruption,4.74,-0.25
escalate,4.05,-0.8
escalating,4.76,-0.24
escalation,4.82,-0.19
escalator,5.95,0.7
escape,5.5,0.34
escort,5.35,0.22
escrow,4.56,-0.4
esophagus,4.5,-0.44
espionage,4.05,-0.8
espresso,6.68,1.27
esquire,5.67,0.48
essay,4.9,-0.13
essence,6.75,1.32
essential,6.26,0.94
establish,5.58,0.4
estate,5.65,0.46
esteem,6.38,1.03
esteemed,5.95,0.7
estimate,5.95,0.7
estimation,4.67,-0.31
estranged,3.67,-1.09
estrogen,5.22,0.12
eternal,6.76,1.33
eternity,6.05,0.77
ether,4.63,-0.34
ethic,6.0,0.73
ethical,5.78,0.56
ethics,6.0,0.73
ethnic,5.36,0.23
etiquette,6.0,0.73
eucalyptus,6.05,0.77
eulogy,3.43,-1.28
euphemism,5.05,-0.01
euphoria,7.26,1.72
euphoric,7.8,2.15
euro,5.35,0.22
euthanasia,3.3,-1.38
evacuate,3.4,-1.31
evacuation,4.23,-0.65
evade,4.55,-0.4
evaluate,5.1,0.03
evaluation,4.86,-0.16
evaporate,5.4,0.26
evasion,3.36,-1.34
evasive,3.24,-1.43
evening,7.09,1.59
evens,5.33,0.21
event,6.21,0.9
eventual,5.05,-0.01
everlasting,6.55,1.17
everyday,5.47,0.32
everyman,5.42,0.28
evict,2.63,-1.91
eviction,3.0,-1.62
evidence,4.72,-0.27
evident,5.1,0.03
evidentiary,4.5,-0.44
evil,2.34,-2.14
evolution,5.35,0.22
evolutionary,5.62,0.44
evolve,5.7,0.5
ex,2.7,-1.85
exact,5.58,0.4
exacting,5.42,0.28
exaggerate,4.36,-0.55
exaggeration,4.19,-0.69
exam,4.33,-0.58
examination,5.05,-0.01
examine,5.61,0.43
examiner,4.29,-0.61
example,4.9,-0.13
excavation,4.89,-0.14
exceed,4.79,-0.21
excel,5.95,0.7
excellence,7.87,2.2
excellent,7.56,1.96
excelsior,5.95,0.7
exception,5.25,0.15
exceptional,7.32,1.77
excess,4.29,-0.61
excessive,4.37,-0.54
exchange,5.9,0.66
excitable,5.68,0.48
excite,7.79,2.14
excited,8.11,2.39
excitement,7.62,2.0
exciting,7.95,2.26
exclamation,6.85,1.4
exclude,3.55,-1.19
exclusive,4.5,-0.44
excrement,2.0,-2.4
excruciating,2.1,-2.32
excursion,5.83,0.6
excuse,4.52,-0.43
exec,4.86,-0.16
execute,3.94,-0.88
execution,2.28,-2.18
executioner,2.23,-2.22
executive,4.95,-0.09
executor,3.95,-0.87
exemplary,5.58,0.4
exempt,4.84,-0.18
exemption,5.37,0.24
exercise,6.33,0.99
exert,5.47,0.32
exhale,6.11,0.82
exhaust,4.0,-0.83
exhaustion,3.21,-1.45
exhaustive,4.24,-0.65
exhibit,5.77,0.55
exhibition,5.53,0.37
exhilarated,6.9,1.44
exhilarating,7.39,1.82
exhumation,2.89,-1.71
exhume,3.95,-0.87
exile,3.32,-1.37
exist,5.9,0.66
existence,6.25,0.93
existential,5.86,0.62
existing,4.83,-0.18
exit,5.35,0.22
exodus,4.63,-0.34
exonerate,5.44,0.3
exorcism,3.15,-1.5
exorcist,3.76,-1.02
exotic,7.55,1.95
expand,5.35,0.22
expansion,6.4,1.05
expect,5.95,0.7
expectancy,6.32,0.99
expectation,6.1,0.81
expedient,5.3,0.19
expedite,6.1,0.81
expedition,6.53,1.15
expel,3.75,-1.03
expendable,3.85,-0.95
expense,3.9,-0.91
expensive,3.36,-1.34
experience,6.89,1.43
experiment,6.05,0.77
experimental,5.65,0.46
experimentation,6.0,0.73
expert,6.74,1.31
expertise,6.1,0.81
expiration,3.45,-1.27
expire,3.16,-1.49
explain,5.41,0.27
explanation,6.38,1.03
explicit,4.82,-0.19
explode,4.38,-0.54
exploit,3.65,-1.11
exploitation,2.89,-1.71
exploration,6.71,1.29
exploratory,5.95,0.7
explore,7.0,1.52
explorer,5.9,0.66
explosion,3.17,-1.49
explosive,4.14,-0.72
expo,6.26,0.94
export,4.79,-0.21
expose,4.14,-0.72
exposition,5.43,0.29
exposure,4.81,-0.2
express,5.53,0.37
expression,6.15,0.85
expressive,5.95,0.7
expressway,4.55,-0.4
expulsion,2.52,-2.0
exquisite,7.53,1.93
extend,5.86,0.62
extension,5.0,-0.05
extensive,5.25,0.15
extent,5.57,0.4
exterior,5.55,0.38
exterminate,3.19,-1.47
extermination,3.65,-1.11
exterminator,3.19,-1.47
external,5.37,0.24
extinct,2.74,-1.82
extinction,3.1,-1.54
extinguish,4.65,-0.32
extinguisher,4.76,-0.24
extort,3.19,-1.47
extortion,2.15,-2.29
extra,6.39,1.04
extract,5.15,0.07
extraction,3.86,-0.94
extracurricular,6.1,0.81
extradition,3.68,-1.09
extraordinaire,6.84,1.39
extraordinary,7.45,1.87
extraterrestrial,5.6,0.42
extravagance,5.74,0.53
extravagant,6.32,0.99
extravaganza,6.89,1.43
extreme,5.65,0.46
extremity,4.64,-0.33
eye,6.18,0.88
eyeball,5.67,0.48
eyebrow,5.26,0.15
eyeful,5.29,0.18
eyeglasses,5.09,0.02
eyelash,5.45,0.3
eyeliner,6.42,1.06
eyes,6.57,1.18
eyesight,6.14,0.84
eyewitness,4.47,-0.47
fable,5.75,0.54
fabled,5.79,0.57
fabric,6.05,0.77
fabrication,4.0,-0.83
fabulous,7.84,2.18
facade,4.63,-0.34
face,6.36,1.02
faceless,2.58,-1.95
facial,6.24,0.92
facilitate,4.63,-0.34
facility,5.33,0.21
fact,6.23,0.91
faction,5.11,0.04
factor,4.9,-0.13
factory,4.95,-0.09
factual,5.89,0.65
faculty,5.63,0.44
fad,4.55,-0.4
fade,4.65,-0.32
fag,2.05,-2.36
faggot,2.32,-2.15
fail,2.33,-2.14
failure,2.15,-2.29
faint,4.0,-0.83
fair,7.14,1.63
fairness,7.48,1.9
fairway,4.81,-0.2
fairy,6.71,1.29
faith,6.44,1.08
faithful,7.95,2.26
faithless,3.57,-1.17
fake,2.62,-1.92
faker,2.76,-1.81
falafel,5.52,0.36
falcon,5.5,0.34
fall,3.89,-0.92
fallacy,4.0,-0.83
fallback,4.81,-0.2
fallopian,4.59,-0.37
fallout,2.84,-1.74
fallow,4.43,-0.5
FALSE,3.27,-1.41
fame,5.45,0.3
famed,5.33,0.21
familiar,6.19,0.88
familiarity,6.8,1.36
family,7.25,1.71
famine,2.95,-1.66
famished,4.47,-0.47
famous,5.89,0.65
fan,6.81,1.37
fanatic,4.67,-0.31
fanatical,3.86,-0.94
fanciful,7.05,1.56
fancy,7.43,1.86
fanfare,5.3,0.19
fang,4.62,-0.35
fantasize,7.0,1.52
fantastic,8.36,2.59
fantasy,7.15,1.64
faraway,4.7,-0.29
farce,4.33,-0.58
fare,4.86,-0.16
farewell,3.43,-1.28
farm,6.22,0.91
farmer,6.14,0.84
farmhouse,5.81,0.59
farming,5.47,0.32
farmland,6.58,1.19
fart,4.05,-0.8
fascinate,7.0,1.52
fascinating,7.37,1.81
fascination,7.25,1.71
fascism,2.5,-2.01
fascist,3.1,-1.54
fashion,5.26,0.15
fashionable,7.33,1.78
fastball,5.7,0.5
fasten,5.63,0.44
fat,2.74,-1.82
fatal,2.0,-2.4
fatality,2.85,-1.74
fate,5.38,0.25
fated,4.43,-0.5
fateful,5.0,-0.05
fathead,3.47,-1.25
father,6.88,1.42
fatherhood,6.77,1.34
fatherland,5.1,0.03
fatherly,6.53,1.15
fathom,5.21,0.11
fatigue,3.64,-1.12
fatigued,2.89,-1.71
fatso,2.68,-1.87
fatten,3.89,-0.92
fatty,2.38,-2.11
faucet,5.55,0.38
fault,3.53,-1.2
faulty,3.48,-1.24
faun,5.1,0.03
fauna,6.05,0.77
faux,4.25,-0.64
favor,6.67,1.26
favorable,6.9,1.44
favorite,7.39,1.82
favoritism,4.81,-0.2
fawn,6.15,0.85
fax,5.24,0.14
faze,4.82,-0.19
fear,2.93,-1.67
fearful,2.66,-1.89
fearless,5.81,0.59
fearsome,3.32,-1.37
feasible,5.84,0.61
feast,7.57,1.97
feat,6.0,0.73
feather,6.3,0.97
feathered,6.29,0.96
feature,5.6,0.42
fecal,2.4,-2.09
feces,2.23,-2.22
federal,3.06,-1.57
federation,4.68,-0.3
fee,2.86,-1.73
feeble,3.87,-0.94
feed,6.95,1.48
feedback,5.91,0.66
feeder,5.18,0.09
feel,6.27,0.95
feeling,6.5,1.13
feign,4.45,-0.48
feisty,5.76,0.55
feline,6.86,1.41
feller,4.82,-0.19
fellow,6.28,0.95
fellowship,6.43,1.07
felon,2.2,-2.25
felony,2.42,-2.07
female,7.52,1.93
feminine,7.33,1.78
femininity,6.25,0.93
feminist,4.26,-0.63
femme,6.17,0.87
femoral,4.5,-0.44
femur,4.55,-0.4
fence,5.05,-0.01
fencing,5.17,0.08
fend,4.82,-0.19
fender,5.11,0.04
fennel,5.35,0.22
fern,6.52,1.14
ferocious,3.21,-1.45
ferret,4.89,-0.14
ferry,6.3,0.97
ferryboat,5.86,0.62
fertile,7.0,1.52
fertility,5.85,0.62
fertilize,5.45,0.3
fertilizer,4.45,-0.48
fess,3.57,-1.17
fest,6.57,1.18
festival,6.84,1.39
festive,7.14,1.63
fetal,3.95,-0.87
fetch,5.32,0.2
fetish,5.0,-0.05
fetus,4.74,-0.25
feud,4.04,-0.8
fever,2.92,-1.68
feverish,3.09,-1.55
fiancee,7.14,1.63
fiasco,4.05,-0.8
fib,3.15,-1.5
fiber,5.42,0.28
fiberglass,4.37,-0.54
fibrosis,3.26,-1.41
fickle,4.75,-0.25
fiction,6.47,1.1
fictional,5.95,0.7
fictitious,5.85,0.62
fiddle,5.05,-0.01
fiddler,5.62,0.44
fidelity,6.7,1.28
field,5.73,0.52
field hockey,4.86,-0.16
fielder,4.72,-0.27
fiend,3.77,-1.01
fiendish,3.95,-0.87
fierce,4.0,-0.83
fiery,5.7,0.5
fiesta,6.72,1.3
fifteen,4.94,-0.1
fifty,4.74,-0.25
fig,5.23,0.13
fight,3.54,-1.2
fighter,5.1,0.03
figment,5.0,-0.05
figure,5.09,0.02
file,5.44,0.3
filet,6.14,0.84
fill,5.56,0.39
filler,4.9,-0.13
fillet,6.7,1.28
filly,5.05,-0.01
film,6.33,0.99
filmmaker,5.48,0.33
filter,5.5,0.34
filth,2.62,-1.92
filthy,3.42,-1.29
filtration,5.55,0.38
fin,5.27,0.16
final,4.56,-0.4
finale,5.26,0.15
finalist,6.24,0.92
finality,4.43,-0.5
finalize,5.6,0.42
finance,4.81,-0.2
financial,5.0,-0.05
finch,4.74,-0.25
find,6.45,1.09
finder,5.77,0.55
fine,6.5,1.13
finesse,6.0,0.73
finger,5.8,0.58
fingernail,5.57,0.4
fingerprint,5.25,0.15
finish,6.41,1.06
finite,5.68,0.48
fir,5.0,-0.05
fire,4.32,-0.58
firearm,4.0,-0.83
fireball,3.71,-1.06
firecracker,5.7,0.5
firefight,4.32,-0.58
firefighter,6.6,1.2
firefly,7.05,1.56
firehouse,5.16,0.08
firelight,6.38,1.03
fireman,6.47,1.1
fireplace,5.95,0.7
firepower,5.84,0.61
fireside,6.0,0.73
firewall,4.43,-0.5
firewood,6.09,0.8
fireworks,6.8,1.36
firm,5.36,0.23
firmament,5.1,0.03
first,7.33,1.78
firstborn,6.65,1.24
fiscal,4.15,-0.72
fish,6.42,1.06
fisherman,5.42,0.28
fishing,7.05,1.56
fishing boat,6.21,0.9
fishy,4.2,-0.68
fissure,4.3,-0.6
fist,2.95,-1.66
fistfight,4.0,-0.83
fistful,5.4,0.26
fit,6.28,0.95
fitness,6.45,1.09
five,5.4,0.26
fiver,5.24,0.14
fix,6.11,0.82
fixable,6.84,1.39
fixation,4.11,-0.75
fixer,6.39,1.04
fixture,5.05,-0.01
fizz,5.38,0.25
fjord,5.53,0.37
flabby,3.39,-1.31
flaccid,3.55,-1.19
flag,6.1,0.81
flagpole,5.11,0.04
flagrant,4.0,-0.83
flagship,5.45,0.3
flagstaff,5.5,0.34
flair,5.89,0.65
flak,4.55,-0.4
flake,4.58,-0.38
flaky,3.58,-1.16
flamboyant,5.0,-0.05
flame,5.9,0.66
flamethrower,5.27,0.16
flaming,4.64,-0.33
flamingo,6.74,1.31
flammable,4.25,-0.64
flan,5.86,0.62
flank,4.95,-0.09
flannel,5.55,0.38
flap,5.74,0.53
flare,5.4,0.26
flares,4.57,-0.39
flash,5.53,0.37
flashback,5.0,-0.05
flashlight,6.0,0.73
flashy,4.85,-0.17
flask,5.5,0.34
flat,4.43,-0.5
flatbed,4.86,-0.16
flatfoot,4.33,-0.58
flatten,5.24,0.14
flatter,6.1,0.81
flattered,6.32,0.99
flattering,7.14,1.63
flattery,5.74,0.53
flatulence,3.79,-1.0
flaunt,4.39,-0.53
flavor,6.45,1.09
flaw,4.1,-0.76
flawed,3.74,-1.04
flawless,7.05,1.56
flea,3.0,-1.62
fleabag,3.4,-1.31
flee,3.84,-0.96
fleece,5.79,0.57
fleet,5.4,0.26
flesh,5.2,0.11
fleshy,4.89,-0.14
flex,5.32,0.2
flexibility,6.9,1.44
flexible,6.74,1.31
flick,5.41,0.27
flicker,5.5,0.34
flier,4.19,-0.69
flight,6.11,0.82
flighty,4.9,-0.13
flimsy,4.0,-0.83
flinch,4.0,-0.83
fling,5.68,0.48
flip,5.6,0.42
flip flop,4.76,-0.24
flipper,5.84,0.61
flipping,5.33,0.21
flirt,6.73,1.31
flirtation,5.78,0.56
flirty,6.52,1.14
float,6.42,1.06
floater,4.2,-0.68
flock,5.25,0.15
flood,2.76,-1.81
floor,5.14,0.06
flooring,5.32,0.2
floozy,3.95,-0.87
flop,3.95,-0.87
floppy,4.61,-0.36
floral,7.42,1.85
florist,6.55,1.17
floss,5.0,-0.05
flotation,5.6,0.42
flounder,5.32,0.2
flour,5.25,0.15
flourish,7.21,1.68
flow,5.68,0.48
flower,7.3,1.75
flowery,7.47,1.89
flu,2.58,-1.95
flue,4.45,-0.48
fluent,6.53,1.15
fluff,6.18,0.88
fluffy,7.11,1.6
fluid,5.05,-0.01
fluke,4.3,-0.6
flunk,1.95,-2.44
flunky,2.89,-1.71
fluorescent,5.16,0.08
flurry,5.68,0.48
flush,4.67,-0.31
flute,6.29,0.96
flutter,5.7,0.5
flux,4.17,-0.7
fly,6.06,0.78
flyboy,4.7,-0.29
flyer,4.95,-0.09
foam,5.25,0.15
focal,4.85,-0.17
focus,6.48,1.11
foe,3.15,-1.5
fog,5.77,0.55
foggy,4.65,-0.32
foil,4.57,-0.39
fold,5.19,0.1
folder,5.7,0.5
foliage,5.68,0.48
folk,6.17,0.87
folklore,6.32,0.99
follow,4.82,-0.19
follower,4.86,-0.16
